Folio,Cosecha,Capital,Perfil,Ciudad Atria,Plazo,Antiguedad Unidad,Laboratorios,Notificaciones,Atria Plus,MMX 6,MMX 12,MMX 24,Score generico de bancos,Cluster Mora,Cluster Experiencia,Score Buro,% Utilizacion Revolvente,Endeudamiento,MOB,pct,tipo_mora,mora_amount,mora_ever,folio_mora_id,folio_mora_mob_id
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,1,17.331383051116298,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|1
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,2,0.5413152263345067,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|2
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,3,11.93459982417429,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|3
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,4,10.209964504934552,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|4
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,5,16.68825263017479,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|5
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,6,4.668120886969033,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|6
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,7,9.283555619767835,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|7
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,8,11.858691604693075,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|8
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,9,18.70844921777784,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|9
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,10,8.306143323773451,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|10
