cohorte,MOB,bgi_sum,monto_sum,pct_impago
2022-06-01,1,0.0,107677.16,0.0
2022-06-01,2,0.0,107677.16,0.0
2022-06-01,3,0.0,107677.16,0.0
2022-06-01,4,0.0,107677.16,0.0
2022-06-01,5,0.0,107677.16,0.0
2022-06-01,6,0.0,107677.16,0.0
2022-06-01,7,0.0,107677.16,0.0
2022-06-01,8,0.0,107677.16,0.0
2022-06-01,9,0.0,107677.16,0.0
2022-06-01,10,0.0,107677.16,0.0
2022-06-01,11,0.0,107677.16,0.0
2022-06-01,12,0.0,107677.16,0.0
2022-06-01,13,0.0,107677.16,0.0
2022-06-01,14,0.0,107677.16,0.0
2022-06-01,15,0.0,107677.16,0.0
2022-06-01,16,0.0,107677.16,0.0
2022-06-01,17,0.0,107677.16,0.0
2022-06-01,18,0.0,107677.16,0.0
2022-06-01,19,0.0,107677.16,0.0
2022-06-01,20,0.0,107677.16,0.0
2022-06-01,21,0.0,107677.16,0.0
2022-06-01,22,0.0,107677.16,0.0
2022-06-01,23,0.0,107677.16,0.0
2022-06-01,24,0.0,107677.16,0.0
2022-06-01,25,0.0,107677.16,0.0
2022-06-01,26,0.0,107677.16,0.0
2022-06-01,27,0.0,107677.16,0.0
2022-06-01,28,0.0,107677.16,0.0
2022-06-01,29,0.0,107677.16,0.0
2022-06-01,30,0.0,107677.16,0.0
2022-06-01,31,0.0,107677.16,0.0
2022-06-01,32,0.0,107677.16,0.0
2022-06-01,33,0.0,107677.16,0.0
2022-06-01,34,0.0,107677.16,0.0
2022-06-01,35,0.0,107677.16,0.0
2022-06-01,36,0.0,107677.16,0.0
2022-06-01,37,0.0,107677.16,0.0
2022-06-01,38,0.0,107677.16,0.0
2022-06-01,39,0.0,107677.16,0.0
2022-06-01,40,0.0,107677.16,0.0
2022-06-01,41,0.0,107677.16,0.0
2022-07-01,1,0.0,915900.0,0.0
2022-07-01,2,0.0,915900.0,0.0
2022-07-01,3,0.0,915900.0,0.0
2022-07-01,4,0.0,915900.0,0.0
2022-07-01,5,0.0,915900.0,0.0
2022-07-01,6,0.0,915900.0,0.0
