MOB,bgi_sum,monto_sum,pct_impago_mob
1,356212.03,736196116.3837,0.0
2,641403.9299999999,679104464.1371,0.1
3,515918.86890000006,629398840.5057,0.1
4,2222869.6499,584172553.4046,0.4
5,2980482.8853,540110455.5103,0.6
6,5179323.671,507991090.71070004,1.0
7,6546865.604900001,478308770.0528,1.4
8,8606857.4302,456022674.2377,1.9
9,8514480.2056,437472793.5265,1.9
10,9435733.4517,420041554.1243,2.2
11,10389740.4505,399320281.3756,2.6
12,10926680.1688,381073298.6538,2.9
13,12019478.083800001,362030238.8934,3.3
14,13226023.5745,341662139.5194,3.9
15,14226092.1195,328572867.2256,4.3
16,15274082.8847,310446124.6451,4.9
17,15910704.8052,299094061.1572,5.3
18,15689758.5312,285588953.09360003,5.5
19,16041593.0092,270516229.08390003,5.9
20,16275472.576200001,259505906.0839,6.3
21,16583256.8055,249404151.99060002,6.6
22,16052195.8145,236771227.5806,6.8
23,16583146.2635,224207252.4618,7.4
24,15835648.4735,211584978.0518,7.5
25,14704304.3677,197246748.9718,7.5
26,13660255.7849,176594630.0718,7.7
27,12515075.9705,157016048.89130002,8.0
28,11913889.9621,139630540.95180002,8.5
29,10299210.180100001,119207049.7334,8.6
30,7924074.5855,100055995.11340001,7.9
31,6146189.1186999995,81363876.2234,7.6
32,4845895.0978,67560466.4134,7.2
33,2753197.7844000002,49996529.0208,5.5
34,2105888.7032000003,38072648.5817,5.5
35,1322383.2047000001,27541921.3414,4.8
36,682631.8853,20366885.2395,3.4
37,689062.65,15295074.2895,4.5
38,458496.81999999995,9678303.1895,4.7
39,222233.84,4205763.21,5.3
40,0.0,1023577.16,0.0
41,0.0,107677.16,0.0
