MOB,bgi_sum,monto_sum,pct_impago_mob
1,11484.46000000002,246654738.7723,0.0
2,11484.46000000002,226621888.3323,0.0
3,7022.090000000026,210230139.2274,0.0
4,12630.511000000028,196378886.7173,0.0
5,232008.69100000005,180855897.7773,0.1
6,815522.621,169802426.287,0.5
7,931895.621,161634147.037,0.6
8,1766254.7691000002,155493473.3188,1.1
9,1817896.3091,149313928.8388,1.2
10,2142830.4991,143604178.8672,1.5
11,2251013.5709,136093920.5153,1.7
12,2952959.6509000002,130067515.9315,2.3
13,3731568.8149,123339494.3025,3.0
14,4238558.1043,116583929.2959,3.6
15,4319404.6857,112730847.2459,3.8
16,4468950.4545,107005465.5575,4.2
17,4985650.1151,102748444.04710001,4.9
18,4815817.7151,97990723.8371,4.9
19,4605289.0808,92181801.3871,5.0
20,5082730.188,88158369.5671,5.8
21,5138532.5267,84644391.6363,6.1
22,5333422.471,80686425.1963,6.6
23,5533442.966399999,76473164.0186,7.2
24,5258369.9013,72000305.2086,7.3
25,5408951.6398,65893324.0186,8.2
26,5154016.2596,58962979.4986,8.7
27,4953582.0345,52857309.0886,9.4
28,4337312.8997,46944215.1686,9.2
29,3544445.8306,38725220.6686,9.2
30,2669953.8785,32891083.7986,8.1
31,1773275.7838,27346447.5786,6.5
32,1142555.9113,23213390.218599997,4.9
33,481328.91429999995,16301017.0386,3.0
34,477828.91429999995,11382832.839499999,4.2
35,190644.82899999997,9189124.2995,2.1
36,237304.3353,6700273.8495,3.5
37,184959.37,4749842.9895,3.9
38,63467.49999999999,2899134.9995,2.2
39,0.0,1752248.51,0.0
40,0.0,507982.73,0.0
