cosecha,exposure
2022-07,507982.73
2022-08,1244265.78
2022-09,1146886.4895
2022-10,1850707.99
2022-11,1950430.8599999999
2022-12,2488850.45
2023-01,2193708.54
2023-02,4918184.1991
2023-03,6912373.18
2023-04,4133057.36
2023-05,5544636.22
2023-06,5834136.87
2023-07,8218994.5
2023-08,5913093.92
2023-09,6105670.41
2023-10,6930344.52
2023-11,6106981.19
2023-12,4472858.8100000005
2024-01,4213261.1777
2024-02,3957966.44
2024-03,3513977.9308
2024-04,4023431.82
2024-05,5808922.45
2024-06,4757720.21
2024-07,4257021.5104
2024-08,5725381.6884
2024-09,3853082.05
2024-10,6755565.0066
2024-11,6728021.629
2024-12,6026404.5838
2025-01,7510258.3519
2025-02,5709749.9716
2025-03,6179544.4799999995
2025-04,6140673.7182
2025-05,8168279.25
2025-06,11053471.4903
2025-07,15522988.94
2025-08,13851252.5101
2025-09,16391749.1049
2025-10,20032850.44
