MOB,bgi_sum,monto_sum,pct_impago_mob
1,11484.46000000002,248512680.1023,0.0
2,11484.46000000002,228479829.6623,0.0
3,297801.99,212088080.5574,0.1
4,843099.471,198236828.0473,0.4
5,912238.0310000001,182563599.4873,0.5
6,2193414.2667,171510127.997,1.3
7,2309787.2667,163341848.747,1.4
8,3142884.6890000002,157201175.0288,2.0
9,2682974.889,151021630.5488,1.8
10,3007909.079,145311880.5772,2.1
11,3116092.1508,137801622.2253,2.3
12,3818038.2308,131775217.6415,2.9
13,4605916.3466,124906655.7325,3.7
14,5010294.3211,118151090.7259,4.2
15,5091140.9025,114298008.6759,4.5
16,5140299.5029,108314787.8275,4.7
17,5656999.1635,104057766.3171,5.4
18,5487166.7635,99300046.1071,5.5
19,5276638.1292,93491123.6571,5.6
20,5754079.2364,89467691.8371,6.4
21,5805772.8156,85835746.3263,6.8
22,6000662.7599,81877779.8863,7.3
23,6200683.255299999,77664518.7086,8.0
24,5925610.1902,73191659.8986,8.1
25,6076191.9287,67084678.7086,9.1
26,5665398.7111,59522424.4986,9.5
27,5280115.2461,53227277.1286,9.9
28,4663846.1113,47314183.2086,9.9
29,3870979.0422,39095188.7086,9.9
30,2839035.0985,33060165.018600002,8.6
31,1773275.7838,27346447.5786,6.5
32,1142555.9113,23213390.218599997,4.9
33,481328.91429999995,16301017.0386,3.0
34,477828.91429999995,11382832.839499999,4.2
35,190644.82899999997,9189124.2995,2.1
36,237304.3353,6700273.8495,3.5
37,184959.37,4749842.9895,3.9
38,63467.49999999999,2899134.9995,2.2
39,0.0,1752248.51,0.0
40,0.0,507982.73,0.0
