cosecha,MOB,bgi_sum,monto_sum,pct
2022-06,1,0.0,107677.16,0.0
2022-06,2,0.0,107677.16,0.0
2022-06,3,0.0,107677.16,0.0
2022-06,4,0.0,107677.16,0.0
2022-06,5,0.0,107677.16,0.0
2022-06,6,0.0,107677.16,0.0
2022-06,7,0.0,107677.16,0.0
2022-06,8,0.0,107677.16,0.0
2022-06,9,0.0,107677.16,0.0
2022-06,10,0.0,107677.16,0.0
2022-06,11,0.0,107677.16,0.0
2022-06,12,0.0,107677.16,0.0
2022-06,13,0.0,107677.16,0.0
2022-06,14,0.0,107677.16,0.0
2022-06,15,0.0,107677.16,0.0
2022-06,16,0.0,107677.16,0.0
2022-06,17,0.0,107677.16,0.0
2022-06,18,0.0,107677.16,0.0
2022-06,19,0.0,107677.16,0.0
2022-06,20,0.0,107677.16,0.0
2022-06,21,0.0,107677.16,0.0
2022-06,22,0.0,107677.16,0.0
2022-06,23,0.0,107677.16,0.0
2022-06,24,0.0,107677.16,0.0
2022-06,25,0.0,107677.16,0.0
2022-06,26,0.0,107677.16,0.0
2022-06,27,0.0,107677.16,0.0
2022-06,28,0.0,107677.16,0.0
2022-06,29,0.0,107677.16,0.0
2022-06,30,0.0,107677.16,0.0
2022-06,31,0.0,107677.16,0.0
2022-06,32,0.0,107677.16,0.0
2022-06,33,0.0,107677.16,0.0
2022-06,34,0.0,107677.16,0.0
2022-06,35,0.0,107677.16,0.0
2022-06,36,0.0,107677.16,0.0
2022-06,37,0.0,107677.16,0.0
2022-06,38,0.0,107677.16,0.0
2022-06,39,0.0,107677.16,0.0
2022-06,40,0.0,107677.16,0.0
2022-06,41,0.0,107677.16,0.0
2022-07,1,0.0,915900.0,0.0
2022-07,2,0.0,915900.0,0.0
2022-07,3,0.0,915900.0,0.0
2022-07,4,0.0,915900.0,0.0
2022-07,5,0.0,915900.0,0.0
2022-07,6,0.0,915900.0,0.0
2022-07,7,0.0,915900.0,0.0
2022-07,8,0.0,915900.0,0.0
2022-07,9,0.0,915900.0,0.0
2022-07,10,0.0,915900.0,0.0
2022-07,11,0.0,915900.0,0.0
2022-07,12,0.0,915900.0,0.0
2022-07,13,0.0,915900.0,0.0
2022-07,14,0.0,915900.0,0.0
2022-07,15,0.0,915900.0,0.0
2022-07,16,0.0,915900.0,0.0
2022-07,17,0.0,915900.0,0.0
2022-07,18,0.0,915900.0,0.0
2022-07,19,0.0,915900.0,0.0
2022-07,20,0.0,915900.0,0.0
2022-07,21,0.0,915900.0,0.0
2022-07,22,0.0,915900.0,0.0
2022-07,23,0.0,915900.0,0.0
2022-07,24,0.0,915900.0,0.0
2022-07,25,0.0,915900.0,0.0
2022-07,26,0.0,915900.0,0.0
2022-07,27,0.0,915900.0,0.0
2022-07,28,0.0,915900.0,0.0
2022-07,29,0.0,915900.0,0.0
2022-07,30,0.0,915900.0,0.0
2022-07,31,0.0,915900.0,0.0
2022-07,32,0.0,915900.0,0.0
2022-07,33,0.0,915900.0,0.0
2022-07,34,0.0,915900.0,0.0
2022-07,35,0.0,915900.0,0.0
2022-07,36,0.0,915900.0,0.0
2022-07,37,0.0,915900.0,0.0
2022-07,38,0.0,915900.0,0.0
2022-07,39,0.0,915900.0,0.0
2022-07,40,0.0,915900.0,0.0
2022-08,1,0.0,3182186.05,0.0
2022-08,2,0.0,3182186.05,0.0
2022-08,3,0.0,3182186.05,0.0
2022-08,4,0.0,3182186.05,0.0
2022-08,5,0.0,3182186.05,0.0
2022-08,6,0.0,3182186.05,0.0
2022-08,7,0.0,3182186.05,0.0
2022-08,8,0.0,3182186.05,0.0
2022-08,9,0.0,3182186.05,0.0
2022-08,10,0.0,3182186.05,0.0
2022-08,11,148814.63,3182186.05,4.676490552775819
2022-08,12,0.0,3182186.05,0.0
2022-08,13,0.0,3182186.05,0.0
2022-08,14,0.0,3182186.05,0.0
2022-08,15,0.0,3182186.05,0.0
2022-08,16,0.0,3182186.05,0.0
2022-08,17,0.0,3182186.05,0.0
2022-08,18,0.0,3182186.05,0.0
2022-08,19,0.0,3182186.05,0.0
2022-08,20,0.0,3182186.05,0.0
2022-08,21,0.0,3182186.05,0.0
2022-08,22,0.0,3182186.05,0.0
2022-08,23,131525.09,3182186.05,4.133167826563755
2022-08,24,129717.33,3182186.05,4.076359080261822
2022-08,25,129717.33,3182186.05,4.076359080261822
2022-08,26,127866.06,3182186.05,4.01818303489829
2022-08,27,127866.06,3182186.05,4.01818303489829
2022-08,28,125866.06,3182186.05,3.955333158474502
2022-08,29,123866.06,3182186.05,3.8924832820507147
2022-08,30,122366.06,3182186.05,3.845345874732874
2022-08,31,122366.06,3182186.05,3.845345874732874
2022-08,32,122366.06,3182186.05,3.845345874732874
2022-08,33,122366.06,3182186.05,3.845345874732874
2022-08,34,122366.06,3182186.05,3.845345874732874
2022-08,35,222233.84,3182186.05,6.983684690591866
2022-08,36,222233.84,3182186.05,6.983684690591866
2022-08,37,222233.84,3182186.05,6.983684690591866
2022-08,38,222233.84,3182186.05,6.983684690591866
2022-08,39,222233.84,3182186.05,6.983684690591866
2022-09,1,0.0,5472539.9795,0.0
2022-09,2,0.0,5472539.9795,0.0
2022-09,3,0.0,5472539.9795,0.0
2022-09,4,0.0,5472539.9795,0.0
2022-09,5,0.0,5472539.9795,0.0
2022-09,6,0.0,5472539.9795,0.0
2022-09,7,0.0,5472539.9795,0.0
2022-09,8,0.0,5472539.9795,0.0
2022-09,9,0.0,5472539.9795,0.0
2022-09,10,0.0,5472539.9795,0.0
2022-09,11,126885.772,5472539.9795,2.3185901331979477
2022-09,12,126885.772,5472539.9795,2.3185901331979477
2022-09,13,125922.45,5472539.9795,2.300987301540096
2022-09,14,125922.45,5472539.9795,2.300987301540096
2022-09,15,125922.45,5472539.9795,2.300987301540096
2022-09,16,125922.45,5472539.9795,2.300987301540096
2022-09,17,125922.45,5472539.9795,2.300987301540096
2022-09,18,125922.45,5472539.9795,2.300987301540096
2022-09,19,125922.45,5472539.9795,2.300987301540096
2022-09,20,125922.45,5472539.9795,2.300987301540096
2022-09,21,125922.45,5472539.9795,2.300987301540096
2022-09,22,125922.45,5472539.9795,2.300987301540096
2022-09,23,125922.45,5472539.9795,2.300987301540096
2022-09,24,125922.45,5472539.9795,2.300987301540096
2022-09,25,125922.45,5472539.9795,2.300987301540096
2022-09,26,217910.47999999998,5472539.9795,3.981889229065247
2022-09,27,217910.47999999998,5472539.9795,3.981889229065247
2022-09,28,217910.47999999998,5472539.9795,3.981889229065247
2022-09,29,217910.47999999998,5472539.9795,3.981889229065247
2022-09,30,217910.47999999998,5472539.9795,3.981889229065247
2022-09,31,217910.47999999998,5472539.9795,3.981889229065247
2022-09,32,217910.47999999998,5472539.9795,3.981889229065247
2022-09,33,217910.47999999998,5472539.9795,3.981889229065247
2022-09,34,184795.47999999998,5472539.9795,3.3767771581795523
2022-09,35,257647.79369999998,5472539.9795,4.708011173333448
2022-09,36,255459.53999999998,5472539.9795,4.668025102730087
2022-09,37,245911.78999999998,5472539.9795,4.493558583787043
2022-09,38,236262.97999999998,5472539.9795,4.31724539034955
2022-10,1,0.0,5417393.4,0.0
2022-10,2,0.0,5417393.4,0.0
2022-10,3,0.0,5417393.4,0.0
2022-10,4,0.0,5417393.4,0.0
2022-10,5,0.0,5417393.4,0.0
2022-10,6,0.0,5417393.4,0.0
2022-10,7,0.0,5417393.4,0.0
2022-10,8,0.0,5417393.4,0.0
2022-10,9,0.0,5417393.4,0.0
2022-10,10,0.0,5417393.4,0.0
2022-10,11,0.0,5417393.4,0.0
2022-10,12,0.0,5417393.4,0.0
2022-10,13,0.0,5417393.4,0.0
2022-10,14,0.0,5417393.4,0.0
