MOB,bgi_sum,monto_sum,pct_impago_mob
1,21978.50000000003,731314674.2837,0.0
2,55419.41,674223022.0371,0.0
3,64053.46890000001,625103382.9257,0.0
4,87828.05990000001,579877095.8246,0.0
5,818769.5553,535965237.5503,0.2
6,1723235.1253,503845872.7507,0.3
7,3090777.0592,474163552.0928,0.7
8,5005135.0603,451877456.2777,1.1
9,5424491.2869,433327575.5665,1.3
10,6345744.533,415896336.1643,1.5
11,7299751.5318,395175063.4156,1.8
12,7836691.2501,376928080.6938,2.1
13,9081305.7133,358186646.7134,2.5
14,10589805.4989,338017890.3194,3.1
15,11589874.0439,324928618.0256,3.6
16,12738251.9775,307059714.6051,4.1
17,13374873.898,295707651.1172,4.5
18,13153927.624,282202543.0536,4.7
19,13505762.102,267129819.0439,5.1
20,13739641.669,256119496.0439,5.4
21,14228446.0178,246312620.8906,5.8
22,13872757.7268,233855069.1806,5.9
23,14528740.9558,221416126.8418,6.6
24,13994204.9758,209006814.2418,6.7
25,13241009.35,195048640.6918,6.8
26,12597422.1646,175273035.0418,7.2
27,11783805.0289,156035051.8213,7.6
28,11182619.0205,138649543.8818,8.1
29,9567939.238499999,118226052.6634,8.1
30,7350255.6355,99275884.8634,7.4
31,5741451.3887,80752847.1934,7.1
32,4625015.3478,67137426.7134,6.9
33,2748154.3244000003,49797151.3208,5.5
34,2100845.2432,37873270.8817,5.5
35,1317339.7447000002,27342543.641400002,4.8
36,677588.4253,20167507.5395,3.4
37,684019.19,15095696.5895,4.5
38,458496.81999999995,9678303.1895,4.7
39,222233.84,4205763.21,5.3
40,0.0,1023577.16,0.0
41,0.0,107677.16,0.0
