cosecha,exposure
2022-06,107677.16
2022-07,915900.0
2022-08,3182186.05
2022-09,5472539.9795
2022-10,5417393.4
2022-11,5071810.95
2022-12,7175036.1019
2023-01,10530727.2403
2023-02,11923880.4391
2023-03,17340275.3926
2023-04,13615420.48
2023-05,18523037.669999998
2023-06,18950167.8
2023-07,20423491.2184
2023-08,17385507.9395
2023-09,19237983.2205
2023-10,19775605.65
2023-11,13958173.55
2023-12,12409312.6
2024-01,12438942.3388
2024-02,12457551.71
2024-03,9806875.1533
2024-04,11010323.0
2024-05,15072724.0097
2024-06,13505108.0636
2024-07,11352063.4879
2024-08,17868903.4205
2024-09,13089272.2938
2024-10,20168756.394
2024-11,18741433.9804
2024-12,18246982.7218
2025-01,20721272.7487
2025-02,17431239.4022
2025-03,18549880.7112
2025-04,22286095.8151
2025-05,29682320.6579
2025-06,32119364.7996
2025-07,43911858.2743
2025-08,45226287.1011
2025-09,49119639.1114
2025-10,57091652.2466
