MOB,bgi_sum,monto_sum,pct_impago_mob
1,224858.29,118660031.4817,0.2
2,226362.45,110375910.2488,0.2
3,9170.550000000017,100450270.709,0.0
4,190300.39,93887218.599,0.2
5,190300.39,87114558.349,0.2
6,787013.3,81300930.489,1.0
7,1500112.2673,77247555.769,1.9
8,1635971.0685,73546082.943,2.2
9,1635971.0685,71007756.863,2.3
10,1677417.0784999998,68717060.5624,2.4
11,1753655.1885000002,64740648.0556,2.7
12,1576608.2385,62132913.2865,2.5
13,1448840.0585,57835467.0465,2.5
14,1768035.1685000001,54563565.7965,3.2
15,1880905.2885,52218509.0419,3.6
16,2458978.4385,49840136.0019,4.9
17,2454618.0985,48552786.7645,5.1
18,2529054.9032,46489702.5445,5.4
19,2849295.8032,44438378.6245,6.4
20,2797726.0343,43543912.3045,6.4
21,3124177.0243,42695480.8945,7.3
22,3025598.2793,40409976.0545,7.5
23,2860416.2193,38108496.2445,7.5
24,2808758.1393,36425844.9745,7.7
25,2294832.7092999998,33352341.2445,6.9
26,2287970.6377,31045112.7845,7.4
27,1995143.3793,26837294.754,7.4
28,1898343.0293,23981251.134499997,7.9
29,1889752.0293,21582737.9245,8.8
30,1176694.7560999999,17727263.7445,6.6
31,1176694.7560999999,14813170.9045,7.9
32,981961.8961,11282905.7745,8.7
33,482315.025,8638477.251899999,5.6
34,280668.625,6294870.9618999995,4.5
35,270185.59,4358566.4119,6.2
36,0.0,2749572.02,0.0
37,0.0,2367093.3899999997,0.0
38,0.0,1439402.95,0.0
39,0.0,107677.16,0.0
40,0.0,107677.16,0.0
41,0.0,107677.16,0.0
