cosecha,exposure
2022-06,107677.16
2022-09,1331725.79
2022-10,927690.44
2022-11,382478.63
2022-12,1608994.3919
2023-01,1936304.5499999998
2023-02,2343606.29
2023-03,2644428.5226
2023-04,3530265.13
2023-05,2914092.84
2023-06,3855474.1799999997
2023-07,2398513.21
2023-08,2856043.6195
2023-09,4207818.0305
2023-10,2307228.46
2023-11,3073503.73
2023-12,1682651.27
2024-01,2301479.81
2024-02,2285504.84
2024-03,848431.41
2024-04,894466.32
2024-05,2051323.92
2024-06,2063084.22
2024-07,1287349.2374
2024-08,2378373.04
2024-09,2345056.7546
2024-10,3271901.25
2024-11,4297446.24
2024-12,2607734.7691
2025-01,3976412.5068
2025-02,2290696.3006
2025-03,2538326.08
2025-04,3701472.826
2025-05,4053374.7199999997
2025-06,5813627.86
2025-07,6772660.25
2025-08,6563052.11
2025-09,9925639.5398
2025-10,8284121.2329
