cosecha,MOB,bgi_sum,monto_sum,pct
2022-06,1,0.0,107677.16,0.0
2022-06,2,0.0,107677.16,0.0
2022-06,3,0.0,107677.16,0.0
2022-06,4,0.0,107677.16,0.0
2022-06,5,0.0,107677.16,0.0
2022-06,6,0.0,107677.16,0.0
2022-06,7,0.0,107677.16,0.0
2022-06,8,0.0,107677.16,0.0
2022-06,9,0.0,107677.16,0.0
2022-06,10,0.0,107677.16,0.0
2022-06,11,0.0,107677.16,0.0
2022-06,12,0.0,107677.16,0.0
2022-06,13,0.0,107677.16,0.0
2022-06,14,0.0,107677.16,0.0
2022-06,15,0.0,107677.16,0.0
2022-06,16,0.0,107677.16,0.0
2022-06,17,0.0,107677.16,0.0
2022-06,18,0.0,107677.16,0.0
2022-06,19,0.0,107677.16,0.0
2022-06,20,0.0,107677.16,0.0
2022-06,21,0.0,107677.16,0.0
2022-06,22,0.0,107677.16,0.0
2022-06,23,0.0,107677.16,0.0
2022-06,24,0.0,107677.16,0.0
2022-06,25,0.0,107677.16,0.0
2022-06,26,0.0,107677.16,0.0
2022-06,27,0.0,107677.16,0.0
2022-06,28,0.0,107677.16,0.0
2022-06,29,0.0,107677.16,0.0
2022-06,30,0.0,107677.16,0.0
2022-06,31,0.0,107677.16,0.0
2022-06,32,0.0,107677.16,0.0
2022-06,33,0.0,107677.16,0.0
2022-06,34,0.0,107677.16,0.0
2022-06,35,0.0,107677.16,0.0
2022-06,36,0.0,107677.16,0.0
2022-06,37,0.0,107677.16,0.0
2022-06,38,0.0,107677.16,0.0
2022-06,39,0.0,107677.16,0.0
2022-06,40,0.0,107677.16,0.0
2022-06,41,0.0,107677.16,0.0
2022-09,1,0.0,1331725.79,0.0
2022-09,2,0.0,1331725.79,0.0
2022-09,3,0.0,1331725.79,0.0
2022-09,4,0.0,1331725.79,0.0
2022-09,5,0.0,1331725.79,0.0
2022-09,6,0.0,1331725.79,0.0
2022-09,7,0.0,1331725.79,0.0
2022-09,8,0.0,1331725.79,0.0
2022-09,9,0.0,1331725.79,0.0
2022-09,10,0.0,1331725.79,0.0
2022-09,11,0.0,1331725.79,0.0
2022-09,12,0.0,1331725.79,0.0
2022-09,13,0.0,1331725.79,0.0
2022-09,14,0.0,1331725.79,0.0
2022-09,15,0.0,1331725.79,0.0
2022-09,16,0.0,1331725.79,0.0
2022-09,17,0.0,1331725.79,0.0
2022-09,18,0.0,1331725.79,0.0
2022-09,19,0.0,1331725.79,0.0
2022-09,20,0.0,1331725.79,0.0
2022-09,21,0.0,1331725.79,0.0
2022-09,22,0.0,1331725.79,0.0
2022-09,23,0.0,1331725.79,0.0
2022-09,24,0.0,1331725.79,0.0
2022-09,25,0.0,1331725.79,0.0
2022-09,26,0.0,1331725.79,0.0
2022-09,27,0.0,1331725.79,0.0
2022-09,28,0.0,1331725.79,0.0
2022-09,29,0.0,1331725.79,0.0
2022-09,30,0.0,1331725.79,0.0
2022-09,31,0.0,1331725.79,0.0
2022-09,32,0.0,1331725.79,0.0
2022-09,33,0.0,1331725.79,0.0
2022-09,34,0.0,1331725.79,0.0
2022-09,35,0.0,1331725.79,0.0
2022-09,36,0.0,1331725.79,0.0
2022-09,37,0.0,1331725.79,0.0
2022-09,38,0.0,1331725.79,0.0
2022-10,1,0.0,927690.44,0.0
2022-10,2,0.0,927690.44,0.0
2022-10,3,0.0,927690.44,0.0
2022-10,4,0.0,927690.44,0.0
2022-10,5,0.0,927690.44,0.0
2022-10,6,0.0,927690.44,0.0
2022-10,7,0.0,927690.44,0.0
2022-10,8,0.0,927690.44,0.0
2022-10,9,0.0,927690.44,0.0
2022-10,10,0.0,927690.44,0.0
2022-10,11,0.0,927690.44,0.0
2022-10,12,0.0,927690.44,0.0
2022-10,13,0.0,927690.44,0.0
2022-10,14,0.0,927690.44,0.0
2022-10,15,0.0,927690.44,0.0
2022-10,16,0.0,927690.44,0.0
2022-10,17,0.0,927690.44,0.0
2022-10,18,0.0,927690.44,0.0
2022-10,19,0.0,927690.44,0.0
2022-10,20,0.0,927690.44,0.0
2022-10,21,0.0,927690.44,0.0
2022-10,22,0.0,927690.44,0.0
2022-10,23,0.0,927690.44,0.0
2022-10,24,0.0,927690.44,0.0
2022-10,25,0.0,927690.44,0.0
2022-10,26,0.0,927690.44,0.0
2022-10,27,0.0,927690.44,0.0
2022-10,28,0.0,927690.44,0.0
2022-10,29,0.0,927690.44,0.0
2022-10,30,0.0,927690.44,0.0
2022-10,31,0.0,927690.44,0.0
2022-10,32,0.0,927690.44,0.0
2022-10,33,0.0,927690.44,0.0
2022-10,34,0.0,927690.44,0.0
2022-10,35,0.0,927690.44,0.0
2022-10,36,0.0,927690.44,0.0
2022-10,37,0.0,927690.44,0.0
2022-11,1,0.0,382478.63,0.0
2022-11,2,0.0,382478.63,0.0
2022-11,3,0.0,382478.63,0.0
2022-11,4,0.0,382478.63,0.0
2022-11,5,0.0,382478.63,0.0
2022-11,6,0.0,382478.63,0.0
2022-11,7,0.0,382478.63,0.0
2022-11,8,0.0,382478.63,0.0
2022-11,9,0.0,382478.63,0.0
2022-11,10,0.0,382478.63,0.0
2022-11,11,0.0,382478.63,0.0
2022-11,12,0.0,382478.63,0.0
2022-11,13,0.0,382478.63,0.0
2022-11,14,0.0,382478.63,0.0
2022-11,15,0.0,382478.63,0.0
2022-11,16,0.0,382478.63,0.0
2022-11,17,0.0,382478.63,0.0
2022-11,18,0.0,382478.63,0.0
2022-11,19,0.0,382478.63,0.0
2022-11,20,0.0,382478.63,0.0
2022-11,21,0.0,382478.63,0.0
2022-11,22,0.0,382478.63,0.0
2022-11,23,0.0,382478.63,0.0
2022-11,24,0.0,382478.63,0.0
2022-11,25,0.0,382478.63,0.0
2022-11,26,0.0,382478.63,0.0
2022-11,27,0.0,382478.63,0.0
2022-11,28,0.0,382478.63,0.0
2022-11,29,0.0,382478.63,0.0
2022-11,30,0.0,382478.63,0.0
2022-11,31,0.0,382478.63,0.0
2022-11,32,0.0,382478.63,0.0
2022-11,33,0.0,382478.63,0.0
2022-11,34,0.0,382478.63,0.0
2022-11,35,0.0,382478.63,0.0
2022-11,36,0.0,382478.63,0.0
2022-12,1,0.0,1608994.3919,0.0
2022-12,2,0.0,1608994.3919,0.0
2022-12,3,0.0,1608994.3919,0.0
2022-12,4,0.0,1608994.3919,0.0
2022-12,5,0.0,1608994.3919,0.0
2022-12,6,0.0,1608994.3919,0.0
2022-12,7,0.0,1608994.3919,0.0
2022-12,8,0.0,1608994.3919,0.0
2022-12,9,0.0,1608994.3919,0.0
2022-12,10,0.0,1608994.3919,0.0
2022-12,11,0.0,1608994.3919,0.0
2022-12,12,0.0,1608994.3919,0.0
2022-12,13,0.0,1608994.3919,0.0
2022-12,14,179821.32,1608994.3919,11.176006635278316
2022-12,15,179821.32,1608994.3919,11.176006635278316
2022-12,16,179821.32,1608994.3919,11.176006635278316
2022-12,17,179821.32,1608994.3919,11.176006635278316
2022-12,18,179821.32,1608994.3919,11.176006635278316
2022-12,19,179821.32,1608994.3919,11.176006635278316
2022-12,20,179821.32,1608994.3919,11.176006635278316
2022-12,21,179821.32,1608994.3919,11.176006635278316
2022-12,22,179821.32,1608994.3919,11.176006635278316
2022-12,23,179821.32,1608994.3919,11.176006635278316
2022-12,24,179821.32,1608994.3919,11.176006635278316
2022-12,25,179821.32,1608994.3919,11.176006635278316
2022-12,26,179821.32,1608994.3919,11.176006635278316
2022-12,27,179821.32,1608994.3919,11.176006635278316
2022-12,28,179821.32,1608994.3919,11.176006635278316
2022-12,29,179821.32,1608994.3919,11.176006635278316
2022-12,30,179821.32,1608994.3919,11.176006635278316
