MOB,bgi_sum,monto_sum,pct_impago_mob
1,7666.390000000014,117651132.7217,0.0
2,9170.550000000017,109367011.4888,0.0
3,9170.550000000017,99658563.849,0.0
4,9170.550000000017,93095511.739,0.0
5,9170.550000000017,86322851.489,0.0
6,9170.550000000017,80509223.629,0.0
7,722269.5173,76455848.909,0.9
8,858128.3185,72754376.083,1.2
9,858128.3185,70216050.003,1.2
10,899574.3285,67925353.7024,1.3
11,975812.4384999999,63948941.1956,1.5
12,798765.4885,61341206.4265,1.3
13,670997.3085,57043760.1865,1.2
14,990192.4184999999,53771858.9365,1.8
15,1103062.5385,51426802.1819,2.1
16,1681135.6885,49048429.141899996,3.4
17,1676775.3484999998,47761079.9045,3.5
18,1751212.1532,45697995.6845,3.8
19,2071453.0532,43646671.7645,4.7
20,2019883.2843,42752205.4445,4.7
21,2346334.2743,41903774.0345,5.6
22,2247755.5293,39618269.1945,5.7
23,2082573.4693,37316789.3845,5.6
24,2030915.3893,35634138.1145,5.7
25,1895138.4392999997,32940689.914499998,5.8
26,1888276.3676999998,30633461.454499997,6.2
27,1595449.1093,26425643.424,6.0
28,1498648.7593,23569599.8045,6.4
29,1490057.7593,21171086.594499998,7.0
30,777000.4861,17315612.414499998,4.5
31,777000.4861,14401519.574499998,5.4
32,766125.6061,11059243.7745,6.9
33,482315.025,8638477.251899999,5.6
34,280668.625,6294870.9618999995,4.5
35,270185.59,4358566.4119,6.2
36,0.0,2749572.02,0.0
37,0.0,2367093.3899999997,0.0
38,0.0,1439402.95,0.0
39,0.0,107677.16,0.0
40,0.0,107677.16,0.0
41,0.0,107677.16,0.0
