,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2022-06,"107,677",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-09,"1,331,726",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
2022-10,"927,690",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
2022-11,"382,479",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
2022-12,"1,608,994",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,11.18%,16.79%,16.79%,16.79%,16.79%,,,,,,
2023-01,"1,936,305",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,0.54%,,,,,,,
2023-02,"2,343,606",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.84%,9.72%,9.61%,9.61%,9.61%,9.61%,9.61%,9.61%,9.18%,9.08%,9.08%,8.97%,8.97%,8.60%,8.60%,8.60%,8.60%,8.60%,,,,,,,,
2023-03,"2,420,767",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.92%,4.92%,4.92%,4.92%,14.35%,4.92%,9.09%,9.09%,9.09%,14.86%,14.86%,14.86%,14.86%,11.72%,18.26%,18.26%,11.72%,11.72%,11.72%,11.72%,11.72%,11.72%,11.72%,11.72%,11.72%,11.72%,,,,,,,,,
2023-04,"3,342,276",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,3.03%,,,,,,,,,,
2023-05,"2,914,093",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,
2023-06,"3,855,474",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.62%,2.62%,2.62%,2.62%,2.62%,5.37%,8.99%,8.99%,14.43%,14.43%,11.95%,20.39%,19.00%,19.00%,18.62%,18.49%,18.49%,18.49%,18.49%,18.49%,18.49%,18.49%,,,,,,,,,,,,
2023-07,"2,398,513",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,
2023-08,"2,856,044",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.59%,3.52%,3.46%,3.46%,3.39%,3.39%,3.39%,3.39%,3.39%,,,,,,,,,,,,,,
