cosecha,MOB,ever_sum,folio_den,pct
2022-06,1,0,1,0.0
2022-06,2,0,1,0.0
2022-06,3,0,1,0.0
2022-06,4,0,1,0.0
2022-06,5,0,1,0.0
2022-06,6,0,1,0.0
2022-06,7,0,1,0.0
2022-06,8,0,1,0.0
2022-06,9,0,1,0.0
2022-06,10,0,1,0.0
2022-06,11,0,1,0.0
2022-06,12,0,1,0.0
2022-06,13,0,1,0.0
2022-06,14,0,1,0.0
2022-06,15,0,1,0.0
2022-06,16,0,1,0.0
2022-06,17,0,1,0.0
2022-06,18,0,1,0.0
2022-06,19,0,1,0.0
2022-06,20,0,1,0.0
2022-06,21,0,1,0.0
2022-06,22,0,1,0.0
2022-06,23,0,1,0.0
2022-06,24,0,1,0.0
2022-06,25,0,1,0.0
2022-06,26,0,1,0.0
2022-06,27,0,1,0.0
2022-06,28,0,1,0.0
2022-06,29,0,1,0.0
2022-06,30,0,1,0.0
2022-06,31,0,1,0.0
2022-06,32,0,1,0.0
2022-06,33,0,1,0.0
2022-06,34,0,1,0.0
2022-06,35,0,1,0.0
2022-06,36,0,1,0.0
2022-06,37,0,1,0.0
2022-06,38,0,1,0.0
2022-06,39,0,1,0.0
2022-06,40,0,1,0.0
2022-06,41,0,1,0.0
2022-07,1,0,7,0.0
2022-07,2,0,7,0.0
2022-07,3,0,7,0.0
2022-07,4,0,7,0.0
2022-07,5,0,7,0.0
2022-07,6,0,7,0.0
2022-07,7,0,7,0.0
2022-07,8,0,7,0.0
2022-07,9,0,7,0.0
2022-07,10,0,7,0.0
2022-07,11,0,7,0.0
2022-07,12,0,7,0.0
2022-07,13,0,7,0.0
2022-07,14,0,7,0.0
2022-07,15,0,7,0.0
2022-07,16,0,7,0.0
2022-07,17,0,7,0.0
2022-07,18,0,7,0.0
2022-07,19,0,7,0.0
2022-07,20,0,7,0.0
2022-07,21,0,7,0.0
2022-07,22,0,7,0.0
2022-07,23,0,7,0.0
2022-07,24,0,7,0.0
2022-07,25,0,7,0.0
2022-07,26,0,7,0.0
2022-07,27,0,7,0.0
2022-07,28,0,7,0.0
2022-07,29,0,7,0.0
2022-07,30,0,7,0.0
2022-07,31,0,7,0.0
2022-07,32,0,7,0.0
2022-07,33,0,7,0.0
2022-07,34,0,7,0.0
2022-07,35,0,7,0.0
2022-07,36,0,7,0.0
2022-07,37,0,7,0.0
2022-07,38,0,7,0.0
2022-07,39,0,7,0.0
2022-07,40,0,7,0.0
2022-08,1,0,20,0.0
2022-08,2,0,20,0.0
2022-08,3,0,20,0.0
2022-08,4,0,20,0.0
2022-08,5,0,20,0.0
2022-08,6,0,20,0.0
2022-08,7,0,20,0.0
2022-08,8,0,20,0.0
2022-08,9,0,20,0.0
2022-08,10,0,20,0.0
2022-08,11,1,20,5.0
2022-08,12,1,20,5.0
2022-08,13,1,20,5.0
2022-08,14,1,20,5.0
2022-08,15,1,20,5.0
2022-08,16,1,20,5.0
2022-08,17,1,20,5.0
2022-08,18,1,20,5.0
2022-08,19,1,20,5.0
2022-08,20,1,20,5.0
2022-08,21,1,20,5.0
2022-08,22,1,20,5.0
2022-08,23,1,20,5.0
2022-08,24,1,20,5.0
2022-08,25,1,20,5.0
2022-08,26,1,20,5.0
2022-08,27,1,20,5.0
2022-08,28,1,20,5.0
2022-08,29,1,20,5.0
2022-08,30,1,20,5.0
2022-08,31,1,20,5.0
2022-08,32,1,20,5.0
2022-08,33,1,20,5.0
2022-08,34,1,20,5.0
2022-08,35,2,20,10.0
2022-08,36,2,20,10.0
2022-08,37,2,20,10.0
2022-08,38,2,20,10.0
2022-08,39,2,20,10.0
2022-09,1,1,36,2.7777777777777777
2022-09,2,1,36,2.7777777777777777
2022-09,3,1,36,2.7777777777777777
2022-09,4,1,36,2.7777777777777777
2022-09,5,1,36,2.7777777777777777
2022-09,6,1,36,2.7777777777777777
2022-09,7,1,36,2.7777777777777777
2022-09,8,1,36,2.7777777777777777
2022-09,9,1,36,2.7777777777777777
2022-09,10,1,36,2.7777777777777777
2022-09,11,2,36,5.555555555555555
2022-09,12,2,36,5.555555555555555
2022-09,13,2,36,5.555555555555555
2022-09,14,2,36,5.555555555555555
2022-09,15,2,36,5.555555555555555
2022-09,16,2,36,5.555555555555555
2022-09,17,2,36,5.555555555555555
2022-09,18,2,36,5.555555555555555
2022-09,19,2,36,5.555555555555555
2022-09,20,2,36,5.555555555555555
2022-09,21,2,36,5.555555555555555
2022-09,22,2,36,5.555555555555555
2022-09,23,2,36,5.555555555555555
2022-09,24,2,36,5.555555555555555
2022-09,25,2,36,5.555555555555555
2022-09,26,3,36,8.333333333333332
2022-09,27,3,36,8.333333333333332
2022-09,28,3,36,8.333333333333332
2022-09,29,3,36,8.333333333333332
2022-09,30,3,36,8.333333333333332
2022-09,31,3,36,8.333333333333332
2022-09,32,3,36,8.333333333333332
2022-09,33,3,36,8.333333333333332
2022-09,34,3,36,8.333333333333332
2022-09,35,4,36,11.11111111111111
2022-09,36,4,36,11.11111111111111
2022-09,37,4,36,11.11111111111111
2022-09,38,4,36,11.11111111111111
2022-10,1,0,41,0.0
2022-10,2,0,41,0.0
2022-10,3,0,41,0.0
2022-10,4,1,41,2.4390243902439024
2022-10,5,1,41,2.4390243902439024
2022-10,6,1,41,2.4390243902439024
2022-10,7,1,41,2.4390243902439024
2022-10,8,1,41,2.4390243902439024
2022-10,9,1,41,2.4390243902439024
2022-10,10,1,41,2.4390243902439024
2022-10,11,1,41,2.4390243902439024
2022-10,12,1,41,2.4390243902439024
2022-10,13,1,41,2.4390243902439024
2022-10,14,1,41,2.4390243902439024
2022-10,15,1,41,2.4390243902439024
2022-10,16,1,41,2.4390243902439024
2022-10,17,1,41,2.4390243902439024
2022-10,18,1,41,2.4390243902439024
2022-10,19,1,41,2.4390243902439024
2022-10,20,1,41,2.4390243902439024
2022-10,21,1,41,2.4390243902439024
2022-10,22,1,41,2.4390243902439024
2022-10,23,1,41,2.4390243902439024
2022-10,24,1,41,2.4390243902439024
2022-10,25,1,41,2.4390243902439024
2022-10,26,1,41,2.4390243902439024
2022-10,27,1,41,2.4390243902439024
2022-10,28,1,41,2.4390243902439024
2022-10,29,1,41,2.4390243902439024
2022-10,30,1,41,2.4390243902439024
2022-10,31,1,41,2.4390243902439024
2022-10,32,1,41,2.4390243902439024
2022-10,33,1,41,2.4390243902439024
2022-10,34,1,41,2.4390243902439024
2022-10,35,1,41,2.4390243902439024
2022-10,36,1,41,2.4390243902439024
2022-10,37,3,41,7.317073170731707
2022-11,1,0,34,0.0
2022-11,2,0,34,0.0
2022-11,3,0,34,0.0
2022-11,4,0,34,0.0
2022-11,5,0,34,0.0
2022-11,6,0,34,0.0
2022-11,7,0,34,0.0
2022-11,8,1,34,2.941176470588235
2022-11,9,1,34,2.941176470588235
2022-11,10,1,34,2.941176470588235
2022-11,11,1,34,2.941176470588235
2022-11,12,1,34,2.941176470588235
2022-11,13,1,34,2.941176470588235
2022-11,14,1,34,2.941176470588235
2022-11,15,1,34,2.941176470588235
2022-11,16,1,34,2.941176470588235
2022-11,17,1,34,2.941176470588235
2022-11,18,2,34,5.88235294117647
2022-11,19,2,34,5.88235294117647
2022-11,20,2,34,5.88235294117647
2022-11,21,2,34,5.88235294117647
2022-11,22,2,34,5.88235294117647
2022-11,23,2,34,5.88235294117647
2022-11,24,3,34,8.823529411764707
2022-11,25,3,34,8.823529411764707
2022-11,26,4,34,11.76470588235294
2022-11,27,4,34,11.76470588235294
2022-11,28,4,34,11.76470588235294
2022-11,29,4,34,11.76470588235294
2022-11,30,4,34,11.76470588235294
2022-11,31,4,34,11.76470588235294
2022-11,32,4,34,11.76470588235294
2022-11,33,4,34,11.76470588235294
2022-11,34,4,34,11.76470588235294
2022-11,35,4,34,11.76470588235294
2022-11,36,5,34,14.705882352941178
2022-12,1,0,46,0.0
2022-12,2,0,46,0.0
2022-12,3,0,46,0.0
2022-12,4,0,46,0.0
2022-12,5,0,46,0.0
2022-12,6,0,46,0.0
2022-12,7,0,46,0.0
2022-12,8,0,46,0.0
2022-12,9,0,46,0.0
2022-12,10,0,46,0.0
2022-12,11,0,46,0.0
2022-12,12,0,46,0.0
2022-12,13,0,46,0.0
2022-12,14,2,46,4.3478260869565215
2022-12,15,3,46,6.521739130434782
2022-12,16,3,46,6.521739130434782
2022-12,17,3,46,6.521739130434782
2022-12,18,3,46,6.521739130434782
2022-12,19,3,46,6.521739130434782
2022-12,20,3,46,6.521739130434782
2022-12,21,3,46,6.521739130434782
2022-12,22,3,46,6.521739130434782
2022-12,23,3,46,6.521739130434782
2022-12,24,3,46,6.521739130434782
2022-12,25,3,46,6.521739130434782
2022-12,26,3,46,6.521739130434782
2022-12,27,3,46,6.521739130434782
2022-12,28,3,46,6.521739130434782
2022-12,29,3,46,6.521739130434782
2022-12,30,3,46,6.521739130434782
2022-12,31,3,46,6.521739130434782
2022-12,32,4,46,8.695652173913043
2022-12,33,4,46,8.695652173913043
2022-12,34,4,46,8.695652173913043
2022-12,35,4,46,8.695652173913043
