cosecha,exposure
2022-06,107677.16
2022-07,915900.0
2022-08,3182186.05
2022-09,5472539.9795
2022-10,5616771.1
2022-11,5071810.95
2022-12,7175036.1019
2023-01,10530727.2403
2023-02,11923880.4391
2023-03,17563937.3926
2023-04,13803409.81
2023-05,18692118.89
2023-06,19151054.62
2023-07,20423491.2184
2023-08,17385507.9395
2023-09,19578581.1805
2023-10,20652118.9
2023-11,14338229.08
2023-12,12622274.41
2024-01,12563975.1188
2024-02,12632924.41
2024-03,10101754.0933
2024-04,11010323.0
2024-05,15072724.0097
2024-06,13505108.0636
2024-07,11352063.4879
2024-08,18126742.5805
2024-09,13089272.2938
2024-10,20368099.374
2024-11,19043059.7604
2024-12,18246982.7218
2025-01,20721272.7487
2025-02,17431239.4022
2025-03,18549880.7112
2025-04,22286095.8151
2025-05,29682320.6579
2025-06,32119364.7996
2025-07,44062097.8943
2025-08,45226287.1011
2025-09,49705623.6314
2025-10,57091652.2466
