,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2022-06,"107,677",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-07,"915,900",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
2022-08,"3,182,186",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,10.00%,10.00%,10.00%,10.00%,10.00%,,
2022-09,"5,472,540",2.78%,2.78%,2.78%,2.78%,2.78%,2.78%,2.78%,2.78%,2.78%,2.78%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,11.11%,11.11%,11.11%,11.11%,,,
2022-10,"5,616,771",0.00%,0.00%,0.00%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,7.32%,,,,
2022-11,"5,071,811",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.94%,2.94%,2.94%,2.94%,2.94%,2.94%,2.94%,2.94%,2.94%,2.94%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,8.82%,8.82%,11.76%,11.76%,11.76%,11.76%,11.76%,11.76%,11.76%,11.76%,11.76%,11.76%,14.71%,,,,,
2022-12,"7,175,036",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.35%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,6.52%,8.70%,8.70%,8.70%,8.70%,,,,,,
2023-01,"10,530,727",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.47%,2.94%,2.94%,2.94%,4.41%,4.41%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,7.35%,8.82%,10.29%,11.76%,11.76%,11.76%,13.24%,13.24%,13.24%,13.24%,14.71%,14.71%,14.71%,,,,,,,
2023-02,"11,923,880",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.22%,2.44%,2.44%,2.44%,2.44%,2.44%,3.66%,3.66%,3.66%,4.88%,4.88%,4.88%,4.88%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,,,,,,,,
2023-03,"17,563,937",0.00%,0.00%,0.00%,0.00%,0.91%,1.82%,2.73%,2.73%,2.73%,2.73%,3.64%,3.64%,4.55%,6.36%,6.36%,8.18%,9.09%,10.00%,10.00%,10.00%,11.82%,11.82%,12.73%,12.73%,13.64%,14.55%,15.45%,15.45%,15.45%,15.45%,15.45%,16.36%,,,,,,,,,
